Years	2015	1940
2015	12	4	590
2014	9	6	232
2013	13	2	1510
2012	19	10	75000
2011	19	7	21000
2010	21	12	12356
2009	11	3	77
2008	16	8	24945
2007	15	6	50
2006	10	5	500
2005	28	15	115520
2004	15	9	45235
2003	16	7	3580
2002	12	4	1220
2001	15	9	5260
2000	15	8	26
1999	12	8	5532
1998	14	10	3165
1997	8	3	100
1996	13	9	3600
1995	19	11	3729
1994	7	3	973
1993	8	4	57
1992	7	4	26500
1991	8	4	1500
1990	13	8	57
1989	11	7	7670
1988	12	5	59
1987	7	3	1
1986	6	4	17
1985	10	7	3725
1984	13	5	66
1983	4	3	2000
1982	6	2	2
1981	12	7	25
1980	11	9	300
1979	9	5	3050
1978	12	5	20
1977	6	5	10
1976	10	6	100
1975	9	6	490
1974	11	4	150
1973	8	4	18
1972	7	3	2102
1971	13	6	212
1970	10	5	454
1969	18	15	1421
1968	8	4	11
1967	8	6	200
1966	11	7	15
1965	6	4	1445
1964	12	6	515
1963	9	7	13
1962	5	3	2
1961	11	8	406
1960	7	4	393
1959	11	7	22
1958	10	7	11
1957	8	3	152
1956	8	4	25
1955	12	9	960
1954	11	8	781
1953	14	6	1
1952	7	6	3
1951	10	8	0
1950	13	11	31
1949	13	7	59
1948	9	6	18
1947	9	5	136
1946	6	3	12
1945	11	5	80
1944	11	7	165
1943	10	5	17
1942	10	4	27
1941	6	4	8
1940	8	4	9
